Country Name,Country Code,2021 [YR2021] - Gini index [SI.POV.GINI],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2021 [YR2021] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2021 [YR2021] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",2021 [YR2021] - Population density (people per sq. km of land area) [EN.POP.DNST],2021 [YR2021] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2021 [YR2021] - Population growth (annual %) [SP.POP.GROW],"2021 [YR2021] - Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",2021 [YR2021] - Trade (% of GDP) [NE.TRD.GNFS.ZS]
Guinea,GIN,..,1244.96550477914,..,59.373,12.5972882566934,28.61330032,5.815,55.7973018069347,36.8502178436256,2.50610419423246,..,115.195532789356
Guinea-Bissau,GNB,33.4,926.780921081233,..,61.653,2.24248879577658,23.3519001,3.016,73.2162517780939,44.7334136962891,2.23903878745423,..,44.8094556831993
Guyana,GUY,..,9860.87014834386,..,64.323,5.03285574626702,71.65090179,14.576,3.86228095102775,26.443303961947,0.985982406099209,..,..
Haiti,HTI,..,1841.33189337222,..,62.613,16.8415240198785,43.37919998,15.296,412.720827285922,53.2460637918026,1.15604339382525,..,37.0465594645645
Honduras,HND,..,2735.14751503977,..,69.492,4.48087963413445,51.95159912,8.506,91.9642237912235,57.3550236357547,1.66825063176954,..,103.372643459918
"Hong Kong SAR, China",HKG,..,49770.5642374739,..,85.5326829268293,1.56875834445922,93.08715788,5.174,7060.09523809524,100,-0.91177674914823,..,402.459681454463
Hungary,HUN,..,19030.628130329,..,74.0658536585366,5.11096534382855,88.64083466,4.021,105.532895025203,70.2059275331413,-0.409163639262836,91.0576629638672,159.187527332834
Iceland,ISL,..,70425.4064277273,..,83.1658536585366,4.44423970189739,99.68701957,6.029,3.69453535654071,94.2108206403841,1.6393166402584,94.8669891357422,76.2317249850944
India,IND,..,2239.61384367482,76.0596617430205,67.282,5.13140747176369,49.2580986,6.38,475.652042419085,34.4425517181304,0.822648220128724,..,45.4230887840446
Indonesia,IDN,35.5,4287.17313995098,..,67.452,1.56007882983334,62.10447842,3.827,146.235107708626,56.8761702464027,0.704601321926319,..,40.2047582749671
"Iran, Islamic Rep.",IRN,35.5,4605.14881318992,88.4555944977134,73.752,43.3890162681514,78.5957366,9.282,54.518020338983,75.9926376342773,0.831029236943935,..,42.672379536261
Iraq,IRQ,..,4868.49431080783,84.0648941705243,70.704,6.04186489058044,65.00219727,16.173,99.2127035680556,69.8682708740234,2.24127347113109,..,61.5032683117218
Ireland,IRL,29.4,103783.446284479,..,82.2536585365854,2.34034113447044,93.50610352,6.357,74.1847147626651,63.6774229356985,1.39579966615221,100,231.032350863586
Isle of Man,IMN,..,94299.969348965,..,80.42,..,..,..,147.554385964912,52.1999559660634,0.0499494569462143,..,..
Israel,ISR,37.9,52270.9040241956,..,82.5,1.47965474722561,90.29689758,4.812,433.059149722736,91.5353517549466,1.68190551747412,90.1784362792969,54.9016842006986
Italy,ITA,34.8,36852.5425414951,..,82.6463414634146,1.87378325762481,74.8623274,9.497,199.965416259464,69.4812507629394,-0.515599998844444,94.8423385620117,60.3019776202798
Jamaica,JAM,39.9,5625.67806271236,..,69.085,5.86278242801063,82.36071561,5.188,262.020498614958,57.5411017937226,0.244971341124232,98.6511535644531,..
Japan,JPN,..,40094.5599795288,..,84.4456097560976,-0.233352779398264,82.91407928,2.808,344.80546776406,91.8741049279527,-0.459952415807642,87.3879928588867,36.7384462280698
Jordan,JOR,..,4183.49998326866,..,74.204,1.34609377243118,85.999997,19.837,124.629547041467,92.117972910453,1.83419162693059,88.0293579101562,80.3328699444404
Kazakhstan,KAZ,29.2,9983.60103576902,..,70.131,8.04147134028401,90.9239507,5.568,7.31325813979331,61.030254280267,1.33325722721198,..,58.6686085779207
Kenya,KEN,38.7,2061.35622089594,..,61.225,6.10793603659176,26.96290016,5.693,91.6187594501618,31.2879334021971,1.90040858948898,..,35.0020477795269
Kiribati,KIR,..,2222.04819501897,..,64.148,2.05361676773907,67.08760071,..,158.49012345679,59.6364645301985,1.79039347594032,..,74.5005430117832
"Korea, Dem. People's Rep.",PRK,..,..,..,73.437,..,..,3.692,217.860094676522,62.926560562457,0.36747843663433,..,..
"Korea, Rep.",KOR,32.9,37518.4635305697,..,83.5268292682927,2.49833333333339,97.57132698,3.639,530.425604508197,81.1616526507785,-0.128757315474928,83.2123794555664,75.3063047610912
Kosovo,XKX,49.4,5270.43236861018,..,74.981,3.35369139207997,..,..,..,46.4995789423362,-0.227725943787301,..,98.6384304855253
Kuwait,KWT,..,34018.6342592913,..,78.7365853658537,3.42362947609188,99.7,2.97,244.717452300786,100,-0.899478872255975,..,82.0019394603961
Kyrgyz Republic,KGZ,28.8,1349.99730650542,..,71.9,11.9050398185147,77.11769867,5.149,35.7206673618352,34.7521210171204,1.83581016918265,90.9136810302734,100.261376861569
Lao PDR,LAO,..,2526.05105018529,..,67.807,3.75562036658877,62,2.08,32.2928682842288,37.338778268357,1.44141640887407,..,..
Latvia,LVA,34.3,20261.8887788916,..,72.9804878048781,3.27582937431165,91.17964988,7.513,30.2826610959344,68.1808791463693,-0.843294678005026,88.3559875488281,136.796615414819
Lebanon,LBN,..,4045.37391066234,..,73.65,154.756096023393,82.65599823,12.715,558.956207233627,89.965362045441,0.275364167930295,..,78.8286204025241
Lesotho,LSO,..,1066.58645143823,..,54.209,6.04774591950676,45.05670166,18.214,74.4908432147563,40.6551760851997,1.14804266920884,..,139.186479465407
Liberia,LBR,..,667.96610514319,..,61.166,7.81559385858648,26.38229942,3.844,54.60260589701,53.9224618859098,2.11098738475006,..,..
Libya,LBY,..,4935.82787349801,..,72.062,2.86833027751019,77.438797,19.779,4.05513656978528,87.8365018271835,1.26619979488109,..,164.284069967105
Liechtenstein,LIE,..,201944.830335076,..,84.4024390243902,..,95.56939697,..,244.8875,14.6989159370696,0.719750043098349,..,..
